Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1444,17,19/07/2023 18:20,Truist Park,Atlanta Braves,Arizona Diamondbacks,3 - 5
1445,17,19/07/2023 19:05,Wrigley Field,Chicago Cubs,Washington Nationals,8 - 3
1446,17,19/07/2023 19:10,Kauffman Stadium,Kansas City Royals,Detroit Tigers,2 - 3
1447,17,19/07/2023 20:40,T-Mobile Park,Seattle Mariners,Minnesota Twins,3 - 6
1448,17,20/07/2023 11:20,Truist Park,Atlanta Braves,Arizona Diamondbacks,7 - 5
1449,17,20/07/2023 11:35,Great American Ball Park,Cincinnati Reds,San Francisco Giants,5 - 1
1450,17,20/07/2023 11:35,Citizens Bank Park,Philadelphia Phillies,Milwaukee Brewers,0 - 4
1451,17,20/07/2023 12:07,Rogers Centre,Toronto Blue Jays,San Diego Padres,4 - 0
1452,17,20/07/2023 12:10,Citi Field,New York Mets,Chicago White Sox,2 - 6
1453,17,20/07/2023 13:10,Kauffman Stadium,Kansas City Royals,Detroit Tigers,0 - 3
1454,17,20/07/2023 14:40,T-Mobile Park,Seattle Mariners,Minnesota Twins,5 - 0
1455,17,20/07/2023 17:40,Tropicana Field,Tampa Bay Rays,Baltimore Orioles,3 - 4
1456,17,20/07/2023 19:05,Wrigley Field,Chicago Cubs,St. Louis Cardinals,2 - 7
1457,17,20/07/2023 20:40,Oakland Coliseum,Oakland Athletics,Houston Astros,1 - 3
1458,17,21/07/2023 13:20,Wrigley Field,Chicago Cubs,St. Louis Cardinals,4 - 3
1459,17,21/07/2023 17:40,Comerica Park,Detroit Tigers,San Diego Padres,4 - 5
1460,17,21/07/2023 17:40,Tropicana Field,Tampa Bay Rays,Baltimore Orioles,3 - 0
1461,17,21/07/2023 17:40,loanDepot park,Miami Marlins,Colorado Rockies,1 - 6
1462,17,21/07/2023 18:05,Nationals Park,Washington Nationals,San Francisco Giants,5 - 3
1463,17,21/07/2023 18:05,Yankee Stadium,New York Yankees,Kansas City Royals,5 - 4
1464,17,21/07/2023 18:10,Great American Ball Park,Cincinnati Reds,Arizona Diamondbacks,9 - 6
1465,17,21/07/2023 18:10,Fenway Park,Boston Red Sox,New York Mets,4 - 5
1466,17,21/07/2023 18:10,Progressive Field,Cleveland Guardians,Philadelphia Phillies,6 - 5
1467,17,21/07/2023 19:05,Globe Life Field,Texas Rangers,Los Angeles Dodgers,5 - 11
1468,17,21/07/2023 19:10,Target Field,Minnesota Twins,Chicago White Sox,9 - 4
